Nutrient/Item (unit),Year,Reg_Prov,Sex,Age (years),n,Mean,SE_Mean,P5,P5_SE,P10,P10_SE,P25,P25_SE,P50,P50_SE,P75,P75_SE,P90,P90_SE,P95,P95_SE,EAR,% <EAR,%<EAR_SE,p-value_%EAR,Both,Male,Female,AI,% >AI,%>AI_SE,p-value_%AI,UL,% >UL,%>UL_SE,AMDR,% below AMDR,% below AMDR_SE,% within AMDR,% within AMDR_SE,p-value  % within AMDR,% above AMDR,% above AMDR_SE,p-value % below AMDR,p-value % above AMDR,CDRR,% >CDRR,%>CDRR_SE,p-value_%CDRR,%Inadequacy,%Inadequacy_SE,p_value %Inadequacy,%  above AMDR_SE,p-value_%UL
Magnesium (mg/d),2015,Canada excluding territories,Both,1-3,1288,203,4,122,5,137,5,165,4,198,4,236,4,274,6,297,8,65,<3,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Both,4-8,1199,239,4,163,6,178,5,203,4,236,4,271,5,306,7,328,9,110,<3,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Male,9-13,1023,275,5,167,7,186,6,222,5,267,5,320,6,375,8,411,11,200,15.1729689790205,2.38779046564134,<0.001,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Female,9-13,939,246,4,155,6,172,6,203,5,242,4,283,6,324,8,352,10,200,23.2525037370901,2.75022036390606,0.002624152869171,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Male,14-18,900,347,9,185,9,212,8,264,8,331,8,412,11,500,18,562,24,340,53.2678526033985,2.93771162293766,0.073735216062501,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Female,14-18,986,261,6,154,7,173,6,209,6,254,6,305,7,358,10,391,12,300,73.1988926718836,2.73038482005838,0.364689296302441,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Male,19-30,857,352,11,191,12,219,12,271,10,340,10,417,15,502,23,558,29,330,46.5002396399085,3.63461979037523,0.044743304914245,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Female,19-30,872,264,8,150,7,169,7,206,7,255,7,312,10,372,15,412,19,255,49.9424209189408,3.75156665014939,0.162312042916257,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Male,31-50,2005,351,6,208,9,233,9,279,7,340,7,410,8,482,13,531,17,350,54.1790998343188,2.64932022024514,0.022738795180138,,351,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Female,31-50,2207,282,5,173,8,192,7,228,6,274,5,327,6,383,10,421,13,265,45.0097898604974,2.85414468349178,<0.001,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Male,51-70,2151,341,6,190,9,217,8,266,7,330,7,404,8,480,12,531,15,350,57.7387188684942,2.44038309969469,0.056045163514224,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Female,51-70,2314,281,4,160,6,181,5,221,5,272,4,332,6,393,8,432,11,265,46.2608034838839,2.06800703369302,0.004457537117744,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Male,71 years and over,1180,293,5,158,6,182,5,225,4,282,5,349,6,419,9,466,11,350,75.2575159224383,1.78388205469183,0.011652359913767,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Female,71 years and over,1448,245,5,134,5,153,5,189,5,237,5,292,6,348,8,385,10,265,63.905995269741,2.30958754846048,<0.001,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Male,19 years and over,6193,341,4,190,5,216,4,265,4,329,4,404,5,483,7,534,9,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Canada excluding territories,Female,19 years and over,6841,274,3,157,3,177,3,215,3,265,3,323,4,384,5,424,7,,,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Both,1-3,2117,218,3,133,5,149,5,177,4,213,3,253,4,292,6,318,8,65,<3,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Both,4-8,3235,256,3,176,5,192,5,219,4,252,3,290,4,326,7,349,9,110,<3,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Male,9-13,2080,311,5,191,7,213,6,252,5,303,5,361,6,420,10,458,12,200,6.85919565007857,1.5E,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Female,9-13,1980,264,5,169,7,187,6,220,5,260,5,304,6,348,9,375,11,200,14.8907063450096,2.5E,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Male,14-18,2288,365,6,196,9,224,9,277,7,349,6,434,9,527,15,588,21,340,46.8818270747814,2.16218299589624,,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Female,14-18,2256,266,4,157,6,177,6,213,5,259,4,311,5,364,8,400,11,300,70.5361425266712,1.9508213289078,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Male,19-30,1804,380,8,209,13,238,12,293,10,366,8,451,11,540,19,601,26,330,37.4526157581113,3.02513369339155,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Female,19-30,1854,278,5,159,8,180,7,219,6,269,5,328,7,389,11,429,14,255,42.9903691489289,2.81605655174466,,,,278,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Male,31-50,2596,372,6,222,10,248,9,297,7,360,6,435,7,510,12,560,16,350,45.9333749680172,2.42450999878684,,,372,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Female,31-50,2686,306,4,188,8,209,7,247,5,297,4,355,6,414,11,453,14,265,33.7212580921491,2.40022579084805,,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Male,51-70,2550,356,5,200,8,227,7,278,6,344,5,422,7,501,11,554,15,350,52.2716024956088,1.91731746126199,,,356,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Female,51-70,3200,297,5,170,6,193,5,235,4,289,4,350,6,413,9,456,12,265,38.8004969194261,2.01255474045201,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Male,71 years and over,1520,315,7,173,6,197,6,242,6,303,7,373,9,446,12,496,14,350,67.6955283787925,2.69973020008653,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Female,71 years and over,2610,268,4,150,5,171,5,209,4,259,4,318,5,378,7,418,9,265,52.9462736230791,1.91586370424055,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Male,19 years and over,8470,364,3,204,5,231,4,284,4,351,3,431,4,514,7,569,9,,,,,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2004,Canada excluding territories,Female,19 years and over,10350,293,2,169,3,191,3,231,2,284,2,345,3,408,5,450,7,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Both,1-3,75,190,7,114,7,129,7,154,7,186,8,223,8,258,10,282,11,65,<3,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Both,4-8,76,227,6,155,7,169,7,194,6,223,6,257,7,287,9,310,10,110,<3,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Male,9-13,73,276,10,168,9,187,9,224,9,268,10,321,12,372,15,410,17,200,14.526523887555,3.5E,0.000657679654156,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Female,9-13,71,240,8,148,9,166,8,198,8,236,8,277,9,318,11,345,13,200,26.3000129281175,4.7E,0.01,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Male,14-18,67,314,16,168,12,192,12,237,13,300,16,374,19,452,25,513,31,340,64.7471245424129,5.87348928552999,0.199935805773512,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Female,14-18,62,220,13,127,11,142,11,175,11,214,13,257,16,305,18,336,20,300,88.9990778659141,4.78351644502829,0.362512981051482,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Male,19-30,35,290,16,158,13,175,13,217,14,279,15,348,20,418,26,468,33,330,69.3001121512335,6.07901594995926,0.152819429866969,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesium (mg/d),2015,Newfoundland and Labrador,Female,19-30,51,214,12,117,12,135,11,165,12,206,13,255,14,305,18,337,21,255,75.0192577650892,6.17522472486412,0.288,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,
