Nutrient/Item (unit),Year,Reg_Prov,Sex,Age (years),n,Mean,SE_Mean,P5,P5_SE,P10,P10_SE,P25,P25_SE,P50,P50_SE,P75,P75_SE,P90,P90_SE,P95,P95_SE,AI,% >AI,%>AI_SE,p-value_%>AI,UL,% >UL,%>UL_SE,p-value_%>UL,EAR,% <EAR,%<EAR_SE,p-value_%<EAR,AMDR,%<AMDR,%<AMDR_SE,p-value_%<AMDR,%withinAMDR,%withinAMDR_SE,p-value_%withinAMDR,%>AMDR,%>AMDR_SE,p-value_%>AMDR,Male,Female,Both
Vitamin D (mcg/d),2015,Ontario,Both,1-3,228,6.1,0.3,2,0.3,2.6,0.3,4.0,0.3,5.8,0.3,7.9,0.4,10.1,0.5,11.6,0.5,,,,,63.0,0,0,,10.0,89.5,2.2,0.4356578595,,,,,,,,,,,,,6.1
Vitamin D (mcg/d),2015,Ontario,Both,4-8,221,5.0,0.2,2.1,0.2,2.6,0.2,3.5,0.2,4.7,0.2,6.2,0.2,7.7,0.3,8.7,0.4,,,,,75.0,0,0,,10.0,97.9,0.8,0.0011238392,,,,,,,,,,,,,5.0
Vitamin D (mcg/d),2015,Ontario,Male,9-13,187,5.3,0.2,2.2,0.3,2.7,0.3,3.7,0.2,4.9,0.2,6.6,0.3,8.3,0.4,9.5,0.6,,,,,100.0,0,0,,10.0,96.5,1.4,3.69021365230336E-05,,,,,,,,,,,5.3,,
Vitamin D (mcg/d),2015,Ontario,Female,9-13,158,5.1,0.3,1.9,0.2,2.4,0.2,3.4,0.2,4.8,0.3,6.5,0.3,8.4,0.5,9.7,0.6,,,,,100.0,0,0,,10.0,95.7,1.5,0.0429924877,,,,,,,,,,,,5.1,
Vitamin D (mcg/d),2015,Ontario,Male,14-18,165,6.9,0.4,2.8,0.4,3.4,0.4,4.7,0.4,6.4,0.4,8.5,0.5,10.9,0.7,12.8,1.0,,,,,100.0,0,0,,10.0,85.4,3.5,0.0051468716,,,,,,,,,,,6.9,,
Vitamin D (mcg/d),2015,Ontario,Female,14-18,209,5.1,0.3,1.6,0.2,2.1,0.2,3.1,0.2,4.6,0.3,6.6,0.4,8.8,0.6,10.3,0.7,,,,,100.0,0,0,,10.0,94.2,1.7,0.7366051544,,,,,,,,,,,,5.1,
Vitamin D (mcg/d),2015,Ontario,Male,19-30,179,5.2,0.4,1.9,0.3,2.4,0.3,3.3,0.3,4.7,0.4,6.5,0.5,8.5,0.7,9.9,1.0,,,,,100.0,0,0,,10.0,95.5,2.4,0.124,,,,,,,,,,,5.2,,
Vitamin D (mcg/d),2015,Ontario,Female,19-30,166,4.2,0.4,1.4,0.2,1.7,0.2,2.5,0.3,3.8,0.3,5.4,0.5,7.2,0.7,8.6,0.9,,,,,100.0,0,0,,10.0,97.5,1.4,0.732,,,,,,,,,,,,4.2,
Vitamin D (mcg/d),2015,Ontario,Male,31-50,449,4.2,0.2,1.6,0.3E,1.9,0.3,2.7,0.2,3.9,0.2,5.3,0.3,7.0,0.5,8.2,0.6,,,,,100.0,0,0,,10.0,98.3,0.9,0.01,,,,,,,,,,,4.2,,
Vitamin D (mcg/d),2015,Ontario,Female,31-50,501,3.8,0.2,1.3,0.2,1.7,0.2,2.4,0.2,3.4,0.2,4.8,0.3,6.4,0.4,7.5,0.6,,,,,100.0,0,0,,10.0,99.0,0.8,0.034,,,,,,,,,,,,3.8,
Vitamin D (mcg/d),2015,Ontario,Male,51-70,455,5.4,0.3,1.8,0.3E,2.3,0.3,3.3,0.3,4.8,0.3,6.9,0.4,9.4,0.7,11.2,1.0,,,,,100.0,0,0,,10.0,92.1,2.5,0.0490012101,,,,,,,,,,,5.4,,
Vitamin D (mcg/d),2015,Ontario,Female,51-70,513,3.9,0.2,1.7,0.2,2.0,0.2,2.6,0.2,3.6,0.2,4.8,0.2,6.2,0.4,7.1,0.5,,,,,100.0,0,0,,10.0,99.5,0.4,0.1,,,,,,,,,,,,3.9,
Vitamin D (mcg/d),2015,Ontario,Male,71 years and over,238,5.3,0.2,1.9,0.2,2.4,0.2,3.4,0.2,4.8,0.2,6.7,0.3,8.9,0.5,10.6,0.7,,,,,100.0,0,0,,10.0,93.6,1.6,0.0234406024,,,,,,,,,,,5.3,,
Vitamin D (mcg/d),2015,Ontario,Female,71 years and over,309,4.2,0.2,1.9,0.2,2.2,0.2,2.9,0.2,3.9,0.2,5.1,0.2,6.5,0.4,7.4,0.5,,,,,100.0,0,0,,10.0,99.5,0.5,0.03,,,,,,,,,,,,4.2,
Vitamin D (mcg/d),2015,Ontario,Male,19 years and over,1321,4.9,0.1,1.7,0.1,2.1,0.1,3.1,0.1,4.4,0.1,6.2,0.2,8.3,0.3,9.7,0.4,,,,,100.0,0,0,,10.0,95.6,0.9,3.28264195476482E-06,,,,,,,,,,,4.9,,
Vitamin D (mcg/d),2015,Ontario,Female,19 years and over,1489,4.0,0.1,1.5,0.1,1.8,0.1,2.6,0.1,3.6,0.1,5.0,0.2,6.6,0.2,7.7,0.3,,,,,100.0,0,0,,10.0,99.0,0.4,0.0004109941,,,,,,,,,,,,4.0,
Vitamin D (mcg/d),2004,Ontario,Both,1-3,644,6.3,0.2,2,0.2,2.7,0.2,4.0,0.2,5.9,0.2,8.1,0.3,10.4,0.4,11.9,0.4,,,,,63.0,0,0,,10.0,88.2,1.7,,,,,,,,,,,,,,6.3
Vitamin D (mcg/d),2004,Ontario,Both,4-8,956,5.7,0.2,2.6,0.2,3.1,0.2,4.1,0.2,5.4,0.2,7.0,0.2,8.7,0.3,9.9,0.4,,,,,75.0,0,0,,10.0,95.5,1.2,,,,,,,,,,,,,,5.7
Vitamin D (mcg/d),2004,Ontario,Male,9-13,589,6.5,0.2,2.9,0.3,3.5,0.3,4.6,0.2,6.2,0.2,8.0,0.3,10.0,0.5,11.3,0.6,,,,,100.0,0,0,,10.0,90.2,2.4,,,,,,,,,,,,6.5,,
Vitamin D (mcg/d),2004,Ontario,Female,9-13,585,5.7,0.2,2.2,0.2,2.7,0.2,3.8,0.2,5.3,0.2,7.1,0.3,9.2,0.4,10.5,0.5,,,,,100.0,0,0,,10.0,93.4,1.6,,,,,,,,,,,,,5.7,
Vitamin D (mcg/d),2004,Ontario,Male,14-18,639,7.7,0.4,3.2,0.4,3.9,0.4,5.3,0.4,7.2,0.3,9.6,0.5,12.3,0.7,14.1,1.0,,,,,100.0,0,0,,10.0,78.0,3.7,,,,,,,,,,,,7.7,,
Vitamin D (mcg/d),2004,Ontario,Female,14-18,645,5.0,0.3,1.6,0.2,2.1,0.2,3.1,0.2,4.5,0.2,6.5,0.3,8.6,0.5,10.2,0.7,,,,,100.0,0,0,,10.0,94.6,1.6,,,,,,,,,,,,,5.0,
Vitamin D (mcg/d),2004,Ontario,Male,19-30,481,5.7,0.4,2.2,0.4E,2.7,0.4,3.7,0.4,5.3,0.3,7.2,0.5,9.4,0.7,10.9,1.0,,,,,100.0,0,0,,10.0,92.5,2.8,,,,,,,,,,,,5.7,,
Vitamin D (mcg/d),2004,Ontario,Female,19-30,514,4.4,0.3,1.5,0.2,1.9,0.2,2.7,0.2,4.0,0.2,5.6,0.3,7.5,0.6,8.8,0.8,,,,,100.0,0,0,,10.0,97.3,1.3,,,,,,,,,,,,,4.4,
