nutrient,sex,age,year,Reg_Prov,x,y
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-2.0571993115605,7.19629668794929E-05
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-2.01716643185205,8.13205618716244E-05
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.9771335521436,9.16865877674787E-05
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.93710067243515,0.000103015041081
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.8970677927267,0.000115714772957
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.85703491301826,0.000130074247136
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.81700203330981,0.000145734859645
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.77696915360136,0.00016278629029
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.73693627389291,0.000182422275224
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.69690339418446,0.000203788679114
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.65687051447601,0.000226948814625
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.61683763476756,0.000252951410474
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.57680475505911,0.000281727934978
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.53677187535067,0.000312851956575
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.49673899564222,0.000346848070101
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.45670611593377,0.000385114826888
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.41667323622532,0.000426404105768
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.37664035651687,0.000470810076679
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.33660747680842,0.000520639120204
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.29657459709997,0.000574722824039
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.25654171739153,0.000632753921725
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.21650883768308,0.000696216903957
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.17647595797463,0.00076618137455
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.13644307826618,0.000841065020173
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.09641019855773,0.000921060855387
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.05637731884928,0.001010465619447
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-1.01634443914083,0.001105903929647
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.976311559432386,0.00120752900145
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.936278679723938,0.001318587222521
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.896245800015489,0.001438748958994
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.85621292030704,0.001566370919005
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.816180040598592,0.00170284259916
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.776147160890143,0.001852332654132
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.736114281181695,0.002010677301626
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.696081401473246,0.002178059734537
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.656048521764797,0.002360512233154
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.616015642056349,0.002554662578241
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.5759827623479,0.002759355638251
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.535949882639452,0.002978068774642
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.495917002931003,0.003213373838161
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.455884123222554,0.003460784713566
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.415851243514106,0.003720500060218
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.375818363805657,0.004002391325547
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.335785484097209,0.004298033995715
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.29575260438876,0.004607558511788
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.255719724680312,0.004937462431536
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.215686844971863,0.005286810009853
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.175653965263414,0.005651574132523
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.135621085554966,0.006034079598201
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.095588205846517,0.006442399603169
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.055555326138069,0.006867574211059
Vitamin D,Male,1-3 years,2004,Canada excluding territories,-0.01552244642962,0.007309773971045
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.024510433278829,0.007779196900931
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.064543312987277,0.008269516864938
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.104576192695726,0.008778115868646
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.144609072404174,0.009310217217588
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.184641952112623,0.009869805920048
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.224674831821072,0.010448711012864
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.26470771152952,0.011047049307926
Vitamin D,Male,1-3 years,2004,Canada excluding territories,0.304740591237969,0.011678825118813
